kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category,clean_name,nama_wilayah,total_ternak,densitas_ternak,proporsi_sapi_perah,bulan_sin,bulan_cos,risk_pred,risk_proba_severe
Kota Sukabumi,2,23.33,88.91,73.02,32.14,301.9,0.5771,1,sukabumi,Kabupaten Sukabumi,780220,187.462758289284,0.0026915485375919,0.8660254037844386,0.5000000000000001,1,0.0014688346883468834
Kota Sukabumi,2,23.33,88.91,73.02,32.14,301.9,0.5771,1,sukabumi,Kota Sukabumi,3450,71.875,0.0144927536231884,0.8660254037844386,0.5000000000000001,1,0.0006546423447427751
Kuningan,2,24.77,89.31,75.5,28.32,354.9,0.761,1,kuningan,Kabupaten Kuningan,388700,347.9856759176365,0.0077180344738873,0.8660254037844386,0.5000000000000001,1,4.4444444444444447e-05
Majalengka,2,24.74,89.92,75.51,28.44,305.9,0.7526,1,majalengka,Kabupaten Majalengka,290500,241.27906976744185,0.0017211703958691,0.8660254037844386,0.5000000000000001,1,0.0
Purwakarta,2,25.05,88.84,75.92,27.87,294.6,0.6861,1,purwakarta,Kabupaten Purwakarta,145250,176.06060606060606,0.0010327022375215,0.8660254037844386,0.5000000000000001,1,0.0
Subang,2,25.67,88.17,76.89,29.28,249.2,0.6473,1,subang,Kabupaten Subang,206200,109.506107275624,0.0009699321047526,0.8660254037844386,0.5000000000000001,1,0.006601578352597399
Sukabumi,2,24.34,88.45,74.69,27.8,260.9,0.7571,1,sukabumi,Kabupaten Sukabumi,780220,187.462758289284,0.0026915485375919,0.8660254037844386,0.5000000000000001,1,5e-05
Sukabumi,2,24.34,88.45,74.69,27.8,260.9,0.7571,1,sukabumi,Kota Sukabumi,3450,71.875,0.0144927536231884,0.8660254037844386,0.5000000000000001,1,0.00023580765639589167
Sumedang,2,23.86,90.69,74.09,27.9,298.7,0.7688,1,sumedang,Kabupaten Sumedang,286500,188.23915900131405,0.0069808027923211,0.8660254037844386,0.5000000000000001,1,0.0
Kota Bekasi,2,26.65,85.96,78.27,0.0,249.7,0.3243,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099,0.8660254037844386,0.5000000000000001,1,0.0074190476190476185
Kota Bekasi,2,26.65,85.96,78.27,0.0,249.7,0.3243,1,bekasi,Kota Bekasi,920,4.380952380952381,0.0217391304347826,0.8660254037844386,0.5000000000000001,1,0.0002857142857142857
Kota Depok,2,26.17,86.86,77.57,36.67,281.9,0.4324,1,depok,Kota Depok,610,3.05,0.0163934426229508,0.8660254037844386,0.5000000000000001,1,0.004804017101889442
Bandung,3,21.56,89.21,70.06,27.35,248.5,0.735,0,bandung,Kabupaten Bandung,502000,283.9366515837104,0.0756972111553784,1.0,6.123233995736766e-17,0,0.0
Bandung,3,21.56,89.21,70.06,27.35,248.5,0.735,0,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017,1.0,6.123233995736766e-17,0,0.0
Kota Cimahi,3,23.0,88.6,72.43,35.15,164.6,0.3488,1,cimahi,Kota Cimahi,1140,28.5,0.0263157894736842,1.0,6.123233995736766e-17,1,0.0025737104942987294
Kota Tasikmalaya,3,24.29,89.5,74.7,30.17,304.1,0.6705,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,1.0,6.123233995736766e-17,1,0.00041944444444444445
Kota Tasikmalaya,3,24.29,89.5,74.7,30.17,304.1,0.6705,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,1.0,6.123233995736766e-17,1,0.000375
Tasikmalaya,3,24.53,88.35,75.0,27.96,267.8,0.8192,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,1.0,6.123233995736766e-17,1,9.444444444444444e-05
Tasikmalaya,3,24.53,88.35,75.0,27.96,267.8,0.8192,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,1.0,6.123233995736766e-17,1,5e-05
Ciamis,3,25.3,87.98,76.25,28.53,281.3,0.8061,1,ciamis,Kabupaten Ciamis,546900,381.6468946266573,0.0073139513622234,1.0,6.123233995736766e-17,1,9.444444444444444e-05
Kota Banjar,3,26.21,88.63,77.86,30.56,288.9,0.7542,1,banjar,Kota Banjar,10610,93.0701754385965,0.0188501413760603,1.0,6.123233995736766e-17,1,0.0
Bekasi,3,26.88,84.71,78.5,32.58,205.0,0.5211,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099,1.0,6.123233995736766e-17,1,0.010815574055574055
Bekasi,3,26.88,84.71,78.5,32.58,205.0,0.5211,1,bekasi,Kota Bekasi,920,4.380952380952381,0.0217391304347826,1.0,6.123233995736766e-17,1,0.02346082973370207
Bogor,3,24.34,87.88,74.62,29.92,307.9,0.7309,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.0089517882262671,1.0,6.123233995736766e-17,1,4.4444444444444447e-05
Bogor,3,24.34,87.88,74.62,29.92,307.9,0.7309,1,bogor,Kota Bogor,4600,38.983050847457626,0.0217391304347826,1.0,6.123233995736766e-17,1,0.0001858076563958917
Cianjur,3,23.6,88.32,73.43,27.38,253.8,0.787,1,cianjur,Kabupaten Cianjur,611500,175.7183908045977,0.008176614881439,1.0,6.123233995736766e-17,1,0.007243854775361625
Cirebon,3,26.7,85.94,78.35,31.37,259.4,0.6642,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.0020911752404851,1.0,6.123233995736766e-17,1,0.0024694444444444447
Cirebon,3,26.7,85.94,78.35,31.37,259.4,0.6642,1,cirebon,Kota Cirebon,1510,40.810810810810814,0.0066225165562913,1.0,6.123233995736766e-17,1,0.008662089707677944
Garut,3,22.64,88.4,71.81,26.49,272.8,0.8063,0,garut,Kabupaten Garut,1371800,447.5693311582382,0.0182242309374544,1.0,6.123233995736766e-17,0,0.0
Indramayu,3,26.87,85.69,78.61,29.49,205.4,0.6904,1,indramayu,Kabupaten Indramayu,175600,83.65888518342068,0.0005694760820045,1.0,6.123233995736766e-17,1,0.04207161400690813
Karawang,3,26.79,85.36,78.43,31.27,199.9,0.5006,1,karawang,Kabupaten Karawang,107600,65.13317191283294,0.0009293680297397,1.0,6.123233995736766e-17,1,0.005452060046866359
Kota Bandung,3,22.73,88.86,72.0,35.55,180.6,0.3716,1,bandung,Kabupaten Bandung,502000,283.9366515837104,0.0756972111553784,1.0,6.123233995736766e-17,1,0.00010128205128205129
Kota Bandung,3,22.73,88.86,72.0,35.55,180.6,0.3716,1,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017,1.0,6.123233995736766e-17,1,0.003703166971627547
Kota Bogor,3,24.8,88.11,75.42,34.8,308.5,0.5124,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.0089517882262671,1.0,6.123233995736766e-17,1,0.0002169828364950316
