kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category,clean_name,nama_wilayah,total_ternak,densitas_ternak,proporsi_sapi_perah,bulan_sin,bulan_cos
Cianjur,3,23.6,88.32,73.43,27.38,253.8,0.787,1,cianjur,Kabupaten Cianjur,611500,175.7183908045977,0.008176614881439084,1.0,6.123233995736766e-17
Cirebon,3,26.7,85.94,78.35,31.37,259.4,0.6642,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.002091175240485153,1.0,6.123233995736766e-17
Cirebon,3,26.7,85.94,78.35,31.37,259.4,0.6642,1,cirebon,Kota Cirebon,1510,40.810810810810814,0.006622516556291391,1.0,6.123233995736766e-17
Garut,3,22.64,88.4,71.81,26.49,272.8,0.8063,0,garut,Kabupaten Garut,1371800,447.5693311582382,0.018224230937454438,1.0,6.123233995736766e-17
Indramayu,3,26.87,85.69,78.61,29.49,205.4,0.6904,1,indramayu,Kabupaten Indramayu,175600,83.65888518342068,0.0005694760820045558,1.0,6.123233995736766e-17
Karawang,3,26.79,85.36,78.43,31.27,199.9,0.5006,1,karawang,Kabupaten Karawang,107600,65.13317191283294,0.0009293680297397769,1.0,6.123233995736766e-17
Kota Bandung,3,22.73,88.86,72.0,35.55,180.6,0.3716,1,bandung,Kabupaten Bandung,502000,283.9366515837104,0.07569721115537849,1.0,6.123233995736766e-17
Kota Bandung,3,22.73,88.86,72.0,35.55,180.6,0.3716,1,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017096,1.0,6.123233995736766e-17
Kota Bogor,3,24.8,88.11,75.42,34.8,308.5,0.5124,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.008951788226267104,1.0,6.123233995736766e-17
Kota Bogor,3,24.8,88.11,75.42,34.8,308.5,0.5124,1,bogor,Kota Bogor,4600,38.983050847457626,0.021739130434782608,1.0,6.123233995736766e-17
Kota Cirebon,3,26.19,85.8,77.49,34.48,261.5,0.4824,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.002091175240485153,1.0,6.123233995736766e-17
Kota Cirebon,3,26.19,85.8,77.49,34.48,261.5,0.4824,1,cirebon,Kota Cirebon,1510,40.810810810810814,0.006622516556291391,1.0,6.123233995736766e-17
Kota Sukabumi,3,23.13,89.41,72.72,30.22,262.8,0.5988,1,sukabumi,Kabupaten Sukabumi,780220,187.462758289284,0.002691548537591961,1.0,6.123233995736766e-17
Kota Sukabumi,3,23.13,89.41,72.72,30.22,262.8,0.5988,1,sukabumi,Kota Sukabumi,3450,71.875,0.014492753623188406,1.0,6.123233995736766e-17
Kuningan,3,24.71,89.08,75.36,28.27,325.6,0.7996,1,kuningan,Kabupaten Kuningan,388700,347.9856759176365,0.007718034473887317,1.0,6.123233995736766e-17
Majalengka,3,24.76,88.75,75.43,29.42,294.9,0.7369,1,majalengka,Kabupaten Majalengka,290500,241.27906976744185,0.0017211703958691911,1.0,6.123233995736766e-17
Purwakarta,3,25.03,87.86,75.77,29.26,269.5,0.7348,1,purwakarta,Kabupaten Purwakarta,145250,176.06060606060606,0.0010327022375215145,1.0,6.123233995736766e-17
Subang,3,25.68,87.08,76.78,29.57,236.2,0.7174,1,subang,Kabupaten Subang,206200,109.506107275624,0.0009699321047526673,1.0,6.123233995736766e-17
Sukabumi,3,24.11,88.83,74.33,27.14,283.9,0.7881,1,sukabumi,Kabupaten Sukabumi,780220,187.462758289284,0.002691548537591961,1.0,6.123233995736766e-17
