kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category
Kota Bogor,11,25.62,84.1,76.36,35.19,519.9,0.4471,1
Kota Cirebon,11,27.79,72.44,78.38,39.35,109.0,0.3565,1
Kota Sukabumi,11,23.92,83.29,73.49,32.87,527.3,0.5004,1
Kuningan,11,25.9,76.21,75.92,30.95,164.9,0.6244,1
Majalengka,11,26.69,73.25,76.8,33.32,192.2,0.4649,1
Purwakarta,11,26.16,80.05,76.77,31.17,344.0,0.5891,1
Subang,11,27.14,76.8,77.94,33.04,232.1,0.5418,1
Sukabumi,11,24.32,86.94,74.5,30.34,502.6,0.651,1
Sumedang,11,25.72,74.71,75.47,31.0,238.5,0.615,1
Kota Bekasi,11,27.67,79.32,79.1,39.51,203.7,0.3177,2
Kota Depok,11,27.2,80.47,78.49,37.91,354.2,0.3771,1
Bandung,12,21.88,85.59,70.32,28.5,164.9,0.6781,0
Kota Cimahi,12,23.38,85.99,72.85,36.16,141.7,0.321,1
Kota Tasikmalaya,12,23.87,88.09,73.86,31.23,107.9,0.6223,1
Tasikmalaya,12,24.13,86.67,74.16,28.03,104.7,0.7763,1
Ciamis,12,24.87,85.93,75.31,28.97,103.9,0.7384,1
Kota Banjar,12,25.74,85.8,76.74,32.98,88.8,0.6133,1
Bekasi,12,27.42,81.27,78.95,35.79,71.5,0.4638,1
Bogor,12,24.94,82.19,75.04,31.01,143.1,0.693,1
Cianjur,12,23.62,85.79,73.23,29.35,140.2,0.735,1
Cirebon,12,27.71,75.56,78.66,35.16,94.6,0.4592,1
Garut,12,22.37,87.23,71.26,28.12,120.8,0.7287,0
Indramayu,12,27.84,77.78,79.16,35.23,90.2,0.3695,2
Karawang,12,27.39,81.77,78.96,33.07,73.5,0.5499,1
Kota Bandung,12,23.09,86.25,72.39,36.57,134.7,0.3303,1
Kota Bogor,12,25.43,82.95,75.92,35.84,147.0,0.4511,1
Kota Cirebon,12,27.14,75.33,77.75,36.9,93.2,0.433,1
Kota Sukabumi,12,23.45,85.07,72.88,34.9,133.9,0.4895,1
Kuningan,12,25.19,80.28,75.24,30.17,113.5,0.7238,1
Majalengka,12,25.63,80.04,75.93,31.63,134.2,0.5548,1
Purwakarta,12,25.52,84.73,76.26,30.26,160.2,0.6849,1
Subang,12,26.26,83.44,77.33,31.75,118.0,0.5756,1
Sukabumi,12,24.11,86.14,74.08,30.32,130.3,0.7331,1
Sumedang,12,24.57,83.32,74.56,29.19,164.8,0.7078,1
Kota Bekasi,12,27.32,80.56,78.7,39.39,68.2,0.3483,1
Kota Depok,12,26.92,80.37,78.03,38.3,104.5,0.3891,1
