kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category,clean_name,nama_wilayah,total_ternak,densitas_ternak,proporsi_sapi_perah,bulan_sin,bulan_cos,risk_pred,risk_proba_severe
Bekasi,3,26.09,85.18,77.26,28.37,161.6,0.4591,1,bekasi,Kota Bekasi,920,4.380952380952381,0.0217391304347826,1.0,6.123233995736766e-17,1,0.0016767399267399268
Bogor,3,23.64,87.6,73.42,25.57,269.5,0.7073,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.0089517882262671,1.0,6.123233995736766e-17,1,0.0
Bogor,3,23.64,87.6,73.42,25.57,269.5,0.7073,1,bogor,Kota Bogor,4600,38.983050847457626,0.0217391304347826,1.0,6.123233995736766e-17,1,0.00014285714285714284
Cianjur,3,22.94,87.62,72.25,26.41,246.3,0.7676,1,cianjur,Kabupaten Cianjur,611500,175.7183908045977,0.008176614881439,1.0,6.123233995736766e-17,1,5.410312273057371e-05
Cirebon,3,26.04,85.42,77.2,31.68,222.0,0.6337,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.0020911752404851,1.0,6.123233995736766e-17,1,0.000143764958479366
Cirebon,3,26.04,85.42,77.2,31.68,222.0,0.6337,1,cirebon,Kota Cirebon,1510,40.810810810810814,0.0066225165562913,1.0,6.123233995736766e-17,1,0.0002440519554330296
Garut,3,21.89,87.63,70.49,26.73,300.3,0.7819,0,garut,Kabupaten Garut,1371800,447.5693311582382,0.0182242309374544,1.0,6.123233995736766e-17,0,2.9411764705882354e-05
Indramayu,3,26.22,85.24,77.48,28.81,161.1,0.6927,1,indramayu,Kabupaten Indramayu,175600,83.65888518342068,0.0005694760820045,1.0,6.123233995736766e-17,1,0.002696674766772806
Karawang,3,26.07,85.38,77.24,27.57,162.0,0.4995,1,karawang,Kabupaten Karawang,107600,65.13317191283294,0.0009293680297397,1.0,6.123233995736766e-17,1,0.0008867007606792835
Kota Bandung,3,22.06,88.17,70.81,34.55,154.5,0.3773,0,bandung,Kabupaten Bandung,502000,283.9366515837104,0.0756972111553784,1.0,6.123233995736766e-17,0,0.0
Kota Bandung,3,22.06,88.17,70.81,34.55,154.5,0.3773,0,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017,1.0,6.123233995736766e-17,0,0.0002222222222222222
