kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category
Sumedang,10,25.86,67.85,74.91,30.24,61.4,0.6958,1
Kota Bekasi,10,28.24,73.3,79.18,39.07,54.1,0.351,2
Kota Depok,10,27.7,73.28,78.35,37.53,115.6,0.4135,1
Bandung,11,21.55,88.9,70.01,25.9,562.2,0.655,0
Kota Cimahi,11,23.08,88.42,72.55,33.22,417.2,0.3223,1
Kota Tasikmalaya,11,24.18,89.3,74.49,28.4,605.9,0.6526,1
Tasikmalaya,11,24.39,88.38,74.76,27.0,663.7,0.8047,1
Ciamis,11,25.16,87.54,75.96,27.68,621.4,0.7765,1
Kota Banjar,11,26.16,87.22,77.6,30.57,533.3,0.6698,1
Bekasi,11,27.26,82.29,78.82,33.39,350.7,0.4843,1
Bogor,11,24.56,85.94,74.8,29.29,678.2,0.6926,1
Cianjur,11,23.56,87.99,73.32,27.25,680.3,0.7264,1
Cirebon,11,27.09,82.57,78.57,28.66,292.0,0.4872,1
Garut,11,22.44,88.76,71.49,26.27,590.3,0.7373,0
Indramayu,11,27.4,82.02,79.02,31.46,282.3,0.4006,2
Karawang,11,27.28,82.33,78.86,31.42,351.5,0.5603,1
Kota Bandung,11,22.78,88.98,72.09,33.67,393.1,0.3576,1
Kota Bogor,11,25.11,86.29,75.75,34.19,680.5,0.49,1
Kota Cirebon,11,26.52,82.43,77.63,29.48,275.5,0.3549,1
Kota Sukabumi,11,23.22,88.09,72.76,30.98,659.1,0.5479,1
Kuningan,11,24.89,86.03,75.36,26.08,466.5,0.6958,1
Majalengka,11,25.09,86.12,75.7,27.28,442.5,0.5618,1
Purwakarta,11,25.44,85.11,76.17,29.16,585.3,0.6743,1
Subang,11,26.05,84.88,77.15,29.9,418.7,0.569,1
Sukabumi,11,24.12,88.43,74.3,28.03,724.0,0.7313,1
Sumedang,11,24.1,87.72,74.2,27.68,484.8,0.7091,1
Kota Bekasi,11,27.09,82.47,78.57,36.54,324.5,0.3535,1
Kota Depok,11,26.5,84.23,77.82,35.58,524.4,0.4253,1
Bandung,12,21.21,89.51,69.48,23.81,361.2,0.66,0
Kota Cimahi,12,22.78,87.97,72.0,33.76,250.9,0.3387,1
Kota Tasikmalaya,12,23.97,90.36,74.24,0.0,446.6,0.6352,1
Tasikmalaya,12,24.23,88.69,74.52,27.17,441.4,0.8072,1
Ciamis,12,24.98,88.87,75.81,27.54,395.6,0.7693,1
Kota Banjar,12,25.86,89.83,77.39,0.0,349.0,0.6488,1
Bekasi,12,26.66,83.51,77.99,29.2,292.3,0.4734,1
Bogor,12,24.1,86.94,74.12,27.46,399.9,0.6621,1
Cianjur,12,23.32,87.75,72.89,26.08,454.9,0.733,1
Cirebon,12,26.28,87.76,77.88,0.0,272.6,0.4713,1
Garut,12,22.27,88.86,71.22,25.05,424.0,0.7642,0
Indramayu,12,26.58,86.36,78.21,29.38,234.9,0.3923,1
Karawang,12,26.63,83.95,78.0,28.22,281.2,0.5429,1
Kota Bandung,12,22.5,88.68,71.59,33.5,244.2,0.3532,0
Kota Bogor,12,24.59,86.99,74.96,0.0,385.5,0.5161,1
Kota Cirebon,12,25.75,87.96,77.01,0.0,274.3,0.4092,1
Kota Sukabumi,12,22.79,89.31,72.14,26.1,410.8,0.5857,1
Kuningan,12,24.32,91.13,74.92,22.45,327.6,0.717,1
Majalengka,12,24.41,90.39,75.0,26.75,311.8,0.5882,1
Purwakarta,12,24.93,86.79,75.5,24.9,347.3,0.6319,1
Subang,12,25.52,86.28,76.43,0.0,295.4,0.4496,1
Sukabumi,12,23.74,88.69,73.69,26.71,497.5,0.7465,1
Sumedang,12,23.63,90.31,73.64,26.79,318.6,0.6508,1
Kota Bekasi,12,26.54,83.13,77.75,0.0,261.7,0.3161,1
Kota Depok,12,26.02,84.36,77.04,0.0,322.2,0.4279,1
